ID,Title,Year,Age,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+,Type,Total_Platforms
270,Steve Jobs,2015,18+,76,1,0,0,0,Movie,1
271,White Fang,2018,7+,76,1,0,0,1,Movie,2
272,A Monster Calls,2016,13+,76,1,0,0,0,Movie,1
273,Olympus Has Fallen,2013,18+,76,1,0,0,0,Movie,1
274,Talladega Nights: The Ballad of Ricky Bobby,2006,13+,76,1,0,0,0,Movie,1
275,The Time Traveler's Wife,2009,13+,76,1,0,0,0,Movie,1
276,State of Play,2009,13+,76,1,0,0,0,Movie,1
277,The Outlaw Josey Wales,1976,7+,76,1,0,0,0,Movie,1
278,The Bank Job,2008,18+,76,1,0,0,0,Movie,1
279,Miss Sloane,2016,18+,76,1,0,0,0,Movie,1
280,Unknown,2011,13+,75,1,0,0,0,Movie,1
281,6 Underground,2019,18+,75,1,0,0,0,Movie,1
282,Uncorked,2020,13+,75,1,0,0,0,Movie,1
283,Petta,2019,Unknown,75,1,0,0,0,Movie,1
284,Justin Timberlake + The Tennessee Kids,2016,Unknown,75,1,0,0,0,Movie,1
285,My Fair Lady,1964,all,75,1,0,0,0,Movie,1
286,"Bikram: Yogi, Guru, Predator",2019,18+,75,1,0,0,0,Movie,1
287,A Futile and Stupid Gesture,2018,18+,75,1,0,0,0,Movie,1
288,The Dig,2021,13+,75,1,0,0,0,Movie,1
289,Legally Blonde,2001,13+,75,1,0,0,0,Movie,1
290,Legend,2015,18+,75,1,0,0,0,Movie,1
291,Notes on Blindness,2016,Unknown,75,1,0,0,0,Movie,1
292,When We First Met,2018,16+,75,1,0,0,0,Movie,1
293,Best Worst Thing That Ever Could Have Happened...,2016,Unknown,75,1,0,0,0,Movie,1
294,Imperial Dreams,2014,Unknown,75,1,0,0,0,Movie,1
295,Black Mirror: Bandersnatch,2018,18+,75,1,0,0,0,Movie,1
296,Queen,2013,13+,75,1,0,0,0,Movie,1
297,Joshua: Teenager vs. Superpower,2017,16+,75,1,0,0,0,Movie,1
298,Air Force One,1997,18+,75,1,0,0,0,Movie,1
299,Shot Caller,2017,18+,75,1,0,0,0,Movie,1
300,What Dreams May Come,1998,13+,75,1,0,0,0,Movie,1
301,Angel Has Fallen,2019,18+,75,1,0,0,0,Movie,1
302,Crimson Peak,2015,18+,75,1,0,0,0,Movie,1
303,Lemony Snicket's A Series of Unfortunate Events,2004,7+,75,1,0,0,0,Movie,1
304,The Red Sea Diving Resort,2019,18+,75,1,0,0,0,Movie,1
305,The Angel,2018,18+,75,1,0,0,0,Movie,1
306,Army of the Dead,2021,18+,75,1,0,0,0,Movie,1
307,Madagascar 3: Europe's Most Wanted,2012,7+,75,1,0,0,0,Movie,1
308,Icarus,2017,18+,75,1,0,0,0,Movie,1
309,Collateral Beauty,2016,13+,75,1,0,0,0,Movie,1
310,The Danish Girl,2015,18+,75,1,0,0,0,Movie,1
311,Green Zone,2010,18+,75,1,0,1,0,Movie,2
312,John Mulaney: New in Town,2012,18+,75,1,0,0,0,Movie,1
313,Strong Island,2017,Unknown,75,1,0,0,0,Movie,1
314,The White Tiger,2021,18+,75,1,0,0,0,Movie,1
315,Defiance,2008,18+,75,1,0,0,0,Movie,1
316,A Fortunate Man,2018,16+,75,1,0,0,0,Movie,1
317,The Death of Stalin,2017,18+,75,1,0,0,0,Movie,1
318,2012,2009,13+,75,1,1,0,0,Movie,2
319,Underworld: Awakening,2012,18+,74,1,1,0,0,Movie,2
320,Philomena,2013,13+,74,1,0,0,0,Movie,1
321,Sanju,2018,18+,74,1,0,0,0,Movie,1
322,Nappily Ever After,2018,18+,74,1,0,0,0,Movie,1
323,I Care a Lot,2021,18+,74,1,0,0,0,Movie,1
324,The Butler,2013,13+,74,1,0,0,0,Movie,1
325,Qarib Qarib Singlle,2017,Unknown,74,1,0,0,0,Movie,1
326,A Single Man,2009,18+,74,1,0,0,0,Movie,1
327,Home,2015,7+,74,1,0,1,0,Movie,2
328,Zack and Miri Make a Porno,2008,18+,74,1,1,1,0,Movie,3
329,Seeing Allred,2018,16+,74,1,0,0,0,Movie,1
330,Dostana,2008,13+,74,1,0,0,0,Movie,1
331,Remember Me,2010,13+,74,1,0,0,0,Movie,1
332,Underworld: Rise of the Lycans,2009,18+,74,1,0,0,0,Movie,1
333,The Lovely Bones,2009,13+,74,1,0,0,0,Movie,1
334,Madagascar: Escape 2 Africa,2008,7+,74,1,0,0,0,Movie,1
335,No Strings Attached,2011,18+,74,1,0,1,0,Movie,2
